,League,Season,Squad,Goals Scored,xG,xA,Goals Conceded,Points,League Group
357,Ligue1,2020/2021,Olympique Lyon,81,82.35,56.5,43,76.0,Top Half
358,Ligue1,2020/2021,Olympique Marseille,54,49.27,39.05,47,60.0,Top Half
359,Ligue1,2020/2021,FC Metz,44,42.27,27.33,48,47.0,Top Half
360,Ligue1,2020/2021,AS Monaco,76,70.36,48.88,42,78.0,Top Half
361,Ligue1,2020/2021,Montpellier HSC,60,52.28,34.13,62,54.0,Top Half
362,Ligue1,2020/2021,FC Nantes,47,48.28,28.85,55,40.0,Bottom Half
363,Ligue1,2020/2021,OGC Nice,50,46.39,29.71,53,52.0,Top Half
365,Ligue1,2020/2021,Paris Saint-Germain,86,83.89,59.11,28,82.0,Top Half
366,Ligue1,2020/2021,Stade Reims,42,33.2,22.04,50,42.0,Bottom Half
368,Ligue1,2020/2021,AS Saint-Étienne,42,47.26,30.64,54,46.0,Top Half
369,Ligue1,2020/2021,RC Strasbourg Alsace,49,52.79,30.93,58,42.0,Bottom Half
370,Ligue1,2021/2022,Angers SCO,44,45.199999999999996,28.54,55,41.0,Bottom Half
371,Ligue1,2021/2022,FC Girondins Bordeaux,52,46.25,33.65,91,31.0,Bottom Half
372,Ligue1,2021/2022,Stade Brestois 29,49,44.82,30.59,57,48.0,Top Half
373,Ligue1,2021/2022,Clermont Foot 63,38,42.06,30.06,69,36.0,Bottom Half
374,Ligue1,2021/2022,RC Lens,62,52.230000000000004,36.46,48,62.0,Top Half
375,Ligue1,2021/2022,LOSC Lille,48,56.39,37.15,48,55.0,Top Half
376,Ligue1,2021/2022,FC Lorient,35,39.32,27.150000000000002,63,36.0,Bottom Half
377,Ligue1,2021/2022,Olympique Lyon,66,73.33,53.32,51,62.0,Top Half
378,Ligue1,2021/2022,Olympique Marseille,63,59.88,42.42,38,71.0,Top Half
379,Ligue1,2021/2022,FC Metz,35,30.14,22.669999999999998,69,31.0,Bottom Half
380,Ligue1,2021/2022,AS Monaco,65,63.58,47.55,40,69.0,Top Half
381,Ligue1,2021/2022,Montpellier HSC,49,42.47,27.87,61,43.0,Bottom Half
382,Ligue1,2021/2022,FC Nantes,55,45.76,34.96,48,55.0,Top Half
383,Ligue1,2021/2022,OGC Nice,52,59.63,40.13,36,67.0,Top Half
384,Ligue1,2021/2022,Paris Saint-Germain,90,82.32,60.910000000000004,36,86.0,Top Half
385,Ligue1,2021/2022,Stade Reims,43,40.02,28.31,44,46.0,Bottom Half
387,Ligue1,2021/2022,AS Saint-Étienne,42,40.18,27.57,77,32.0,Bottom Half
388,Ligue1,2021/2022,RC Strasbourg Alsace,60,61.21,44.49,43,63.0,Top Half
389,Ligue1,2021/2022,ESTAC Troyes,37,39.72,28.48,53,38.0,Bottom Half
391,SeriaA,2017/2018,Atalanta BC,57,64.26,44.29,39,60.0,Top Half
393,SeriaA,2017/2018,Bologna FC 1909,40,36.09,24.21,52,39.0,Bottom Half
394,SeriaA,2017/2018,Cagliari Calcio,33,38.28,26.04,61,39.0,Bottom Half
395,SeriaA,2017/2018,Chievo Verona,36,34.34,26.19,59,40.0,Bottom Half
397,SeriaA,2017/2018,ACF Fiorentina,54,54.11,37.84,46,57.0,Top Half
398,SeriaA,2017/2018,Genoa CFC,33,42.19,32.4,43,41.0,Bottom Half
399,SeriaA,2017/2018,Inter Milan,66,60.84,47.61,30,72.0,Top Half
400,SeriaA,2017/2018,Juventus FC,86,59.24,40.65,24,95.0,Top Half
